id,name,artist,genres,link,img_link,mc_rating,usr_rating
c822eb15-0938-4c7d-a006-86d73bf082c1,Tincian,9Bach,{International},/music/tincian/9bach,http://static.metacritic.com/images/products/music/1/d1261b8431c318e264125b0024b6c5b6-98.jpg,80,
08c167e6-3424-4b69-82d6-4ed02081c922,Anian,9Bach,"{Pop/Rock,International}",/music/anian/9bach,http://static.metacritic.com/images/products/music/8/78eac8c427af93834b6f32aa1a4b76f9-98.jpg,68,
87e66660-5221-4bee-8df3-9c894820307e,The Wonder Years,9th Wonder,{},/music/the-wonder-years/9th-wonder,http://static.metacritic.com/images/products/music/1/93fba1aa22e303461bfcb119384fa966-98.jpg,87,7
dc005802-44eb-45b2-882d-2a93c7a307a4,The Solution,9th Wonder,{Rap},/music/the-solution/9th-wonder,http://static.metacritic.com/images/products/music/0/5b028a5a2ca796c828afe4a463b8b99c-98.jpg,73,
4ea55727-d3ff-43e2-923e-cdaf6f7d0bc4,The Formula,9th Wonder & Buckshot,{Rap},/music/the-formula/9th-wonder-buckshot,http://static.metacritic.com/images/products/music/2/7723bb83f7895eabab2536a0a83a1bef-98.jpg,68,
1046b042-41e3-4a0c-b4da-00d0d91bccbe,Colonia,A Camp,"{Indie,Rock,Pop}",/music/colonia/a-camp,http://static.metacritic.com/images/products/music/0/c7743bc7aac0ee4c37ce422ac12fbc2e-98.jpg,64,8
17eeda39-29ea-401e-9b59-9e098e671994,Call It Blazing,A Classic Education,"{Pop/Rock,'"Alternative/Indie Rock'",'"Indie Rock'"}",/music/call-it-blazing/a-classic-education,http://static.metacritic.com/images/products/music/6/c72546976454dc6c25c317bf8d557ee6-98.jpg,81,
9c2a4609-f3e1-4b7a-b121-f6acf2786e57,Bad Vibrations,A Day to Remember,{Pop/Rock},/music/bad-vibrations/a-day-to-remember,http://static.metacritic.com/images/products/music/6/b50da902a995f85f24eb428525688918-98.jpg,81,7.6
6cf2987c-2786-40e8-bf20-47cdb0b5bc02,Pines,A Fine Frenzy,"{Pop/Rock,'"Adult Alternative'",'"Alternative/Indie Rock'"}",/music/pines/a-fine-frenzy,http://static.metacritic.com/images/products/music/8/e7e72d152cfe036b69c215ee5de7b65c-98.jpg,66,
2ac12dc9-7600-4a63-8ea5-6ef8f2e983fb,Pile,A Giant Dog,"{Pop/Rock,'"Alternative/Indie Rock'",'"Indie Rock'"}",/music/pile/a-giant-dog,http://static.metacritic.com/images/products/music/3/95e8205000f0b941be76897e0a792fd9-98.jpg,78,
c6c2243c-9862-4851-8da6-c2d75d33146e,Toy,A Giant Dog,"{Pop/Rock,'"Alternative/Indie Rock'",'"Alternative Pop/Rock'"}",/music/toy/a-giant-dog,http://static.metacritic.com/images/products/music/9/1c2eef30d7d01e3946f15f96059eab88-98.jpg,78,
9150b627-dc8e-40d0-ade6-ec45e8623b91,"Feathers Wet, Under the Moon",A Grave with No Name,"{Pop/Rock,'"Alternative/Indie Rock'",'"Alternative Pop/Rock'"}",/music/feathers-wet-under-the-moon/a-grave-with-no-name,http://static.metacritic.com/images/products/music/53w-release.jpg,,
